name,height (cm),place of origin,color one,color two,color three,climate
Rose,60-150,Europe and Asia,red,pink,white,temperate
Tulip,20-70,Central Asia,red,pink,white,temperate
Daisy,15-60,Europe and Asia,white,yellow,NONE,temperate
Sunflower,50-300,North and South America,yellow,orange,NONE,temperate to tropical
Orchid,20-100,Worldwide,purple,pink,white,tropical
Jasmine,60-180,Asia,white,yellow,NONE,tropical
Lavender,30-90,the Mediterranean,purple,NONE,NONE,temperate
Marigold,20-60,South and Central America,orange,yellow,NONE,temperate to tropical
Chrysanthemum,30-100,Asia,red,white,yellow,temperate
Daffodil,20-70,Europe and Asia,yellow,white,NONE,temperate
Freesia,20-60,South Africa,red,pink,white,temperate
Iris,20-100,Europe and Asia,purple,blue,white,temperate to tropical
Lily,20-100,Asia,white,yellow,pink,temperate to tropical
Peony,50-100,Asia,red,pink,white,temperate
Gardenia,30-100,Asia,white,yellow,yellow,tropical
Gladiolus,60-180,Africa,red,pink,white,tropical
Hyacinth,20-40,Europe,blue,pink,white,temperate
Lilac,100-200,Asia,purple,pink,white,temperate
Narcissus,20-70,Europe,yellow,white,white,temperate
Poppy,30-100,Europe and Asia,red,pink,white,temperate
Snapdragon,30-100,Europe and Asia,red,pink,white,temperate
Violet,20-40,Europe and Asia,purple,white,NONE,temperate
Zinnia,20-60,South and Central America,red,pink,white,temperate to tropical
Alstroemeria,20-70,South America,red,pink,white,temperate
Anemone,20-40,Europe and Asia,red,pink,white,temperate
Asters,20-80,Europe and Asia,purple,pink,white,temperate
Calendula,20-60,Europe and Asia,orange,yellow,NONE,temperate
Carnation,20-60,Europe and Asia,red,pink,white,temperate
Cosmos,20-80,North and South America,red,pink,white,temperate to tropical
Dandelion,20-40,Europe and Asia,yellow,NONE,NONE,temperate
Delphinium,60-180,Europe and Asia,blue,pink,white,temperate
Foxglove,60-180,Europe,purple,pink,white,temperate
Ylang-ylang,30-60,Asia,yellow,NONE,NONE,tropical
Tuberose,30-60,Asia,white,NONE,NONE,tropical
Honeysuckle,100-300,Europe and Asia,yellow,white,NONE,temperate to tropical
Frangipani,50-100,Asia and South America,white,yellow,NONE,tropical
Heliotrope,30-60,Europe and Asia,purple,NONE,NONE,temperate
Geranium,30-90,Africa and South America,red,pink,white,temperate to tropical
Clove,30-60,Asia,red,NONE,NONE,tropical
Cumin,30-60,Asia,yellow,NONE,NONE,tropical
Cactus,20-300,the Americas and Africa,red,yellow,pink,desert
Venus flytrap,20-40,North and South America,green,NONE,NONE,temperate
Pitcher plant,20-40,North and South America,green,NONE,NONE,temperate
Sundew,20-40,North and South America,green,NONE,NONE,temperate
Bladderwort,20-40,North and South America,green,NONE,NONE,temperate
Butterwort,20-40,North and South America,green,NONE,NONE,temperate
Cobra lily,20-40,North and South America,green,NONE,NONE,temperate
Cobra plant,20-40,North and South America,green,NONE,NONE,temperate
Corkscrew plant,20-40,North and South America,green,NONE,NONE,temperate
Larkspur,60-180,Europe and Asia,purple,pink,white,temperate
Monkshood,60-180,Europe and Asia,purple,pink,white,temperate
Digitalis,60-180,Europe and Asia,purple,pink,white,temperate
Echinops,60-180,Europe and Asia,purple,pink,white,temperate
Hollyhock,60-180,Europe and Asia,purple,pink,white,temperate
Verbena,60-180,Europe and Asia,purple,pink,white,temperate
Violets,20-40,Europe and Asia,purple,white,NONE,temperate
Pansies,20-40,Europe and Asia,purple,pink,white,temperate
Johnny jump ups,20-40,Europe and Asia,purple,pink,white,temperate
Violas,20-40,Europe and Asia,purple,pink,white,temperate
Forget-me-nots,20-40,Europe and Asia,purple,pink,white,temperate
Sweet Williams,20-40,Europe and Asia,purple,pink,white,temperate
Primroses,20-40,Europe and Asia,purple,pink,white,temperate
Cyclamen,20-40,Europe and Asia,purple,pink,white,temperate
Dwarf iris,20-40,Europe and Asia,purple,pink,white,temperate
Bluebell,20-40,Europe and Asia,blue,NONE,NONE,cold to temperate
Daffodil,20-40,Europe and Asia,yellow,white,NONE,cold to temperate
Crocus,20-40,Europe and Asia,purple,pink,white,cold to temperate
Hyacinth,20-40,Europe and Asia,purple,pink,white,temperate
Iris reticulata,20-40,Europe and Asia,purple,pink,white,temperate
Chionodoxa,20-40,Europe and Asia,purple,pink,white,temperate
Anemone,20-40,Europe and Asia,purple,pink,white,temperate
Scilla,20-40,Europe and Asia,purple,pink,white,temperate
